"","Name","open","date"
"12970","ADP",81.11,"2014-08-12"
"12971","ADP",81.74,"2014-08-13"
"12972","ADP",83.78,"2014-08-14"
"12973","ADP",83.14,"2014-08-15"
"12974","ADP",82.62,"2014-08-18"
"12975","ADP",83.01,"2014-08-19"
"12976","ADP",83.36,"2014-08-20"
"12977","ADP",83.57,"2014-08-21"
"12978","ADP",84.05,"2014-08-22"
"12979","ADP",83.63,"2014-08-25"
"12980","ADP",83.6,"2014-08-26"
"12981","ADP",83.75,"2014-08-27"
"12982","ADP",83.03,"2014-08-28"
"12983","ADP",83.95,"2014-08-29"
"12984","ADP",83.68,"2014-09-02"
"12985","ADP",84.09,"2014-09-03"
"12986","ADP",83.67,"2014-09-04"
"12987","ADP",83.69,"2014-09-05"
"12988","ADP",83.91,"2014-09-08"
"12989","ADP",83.85,"2014-09-09"
"12990","ADP",83.32,"2014-09-10"
"12991","ADP",83.3,"2014-09-11"
"12992","ADP",83.26,"2014-09-12"
"12993","ADP",82.94,"2014-09-15"
"12994","ADP",82.56,"2014-09-16"
"12995","ADP",83.47,"2014-09-17"
"12996","ADP",83.49,"2014-09-18"
"12997","ADP",84.55,"2014-09-19"
"12998","ADP",83.42,"2014-09-22"
"12999","ADP",82.94,"2014-09-23"
"13000","ADP",82.52,"2014-09-24"
"13001","ADP",83.61,"2014-09-25"
"13002","ADP",82.24,"2014-09-26"
"13003","ADP",82.06,"2014-09-29"
"13004","ADP",83.34,"2014-09-30"
"13005","ADP",73.03,"2014-10-01"
"13006","ADP",71.71,"2014-10-02"
"13007","ADP",73.56,"2014-10-03"
"13008","ADP",74.96,"2014-10-06"
"13009","ADP",74.34,"2014-10-07"
"13010","ADP",73.5,"2014-10-08"
"13011","ADP",74.8,"2014-10-09"
"13012","ADP",73.25,"2014-10-10"
"13013","ADP",72.82,"2014-10-13"
"13014","ADP",72.56,"2014-10-14"
"13015","ADP",72,"2014-10-15"
"13016","ADP",70.79,"2014-10-16"
"13017","ADP",72.51,"2014-10-17"
"13018","ADP",72.54,"2014-10-20"
"13019","ADP",73.63,"2014-10-21"
"13020","ADP",75.01,"2014-10-22"
"13021","ADP",75.75,"2014-10-23"
"13022","ADP",75.78,"2014-10-24"
"13023","ADP",76.25,"2014-10-27"
"13024","ADP",76.94,"2014-10-28"
"13025","ADP",77.09,"2014-10-29"
"13026","ADP",77.89,"2014-10-30"
"13027","ADP",80.61,"2014-10-31"
"13028","ADP",81.5,"2014-11-03"
"13029","ADP",82.35,"2014-11-04"
"13030","ADP",83.78,"2014-11-05"
"13031","ADP",84.66,"2014-11-06"
"13032","ADP",84.87,"2014-11-07"
"13033","ADP",84.31,"2014-11-10"
"13034","ADP",85.09,"2014-11-11"
"13035","ADP",84.77,"2014-11-12"
"13036","ADP",85.43,"2014-11-13"
"13037","ADP",85.41,"2014-11-14"
"13038","ADP",84.7,"2014-11-17"
"13039","ADP",84.85,"2014-11-18"
"13040","ADP",84.79,"2014-11-19"
"13041","ADP",84.28,"2014-11-20"
